[23:49:25] [INFO] received Windows console close event; shutting log-core down
[23:57:36] [INFO] received Windows console close event; shutting log-core down
[00:04:56] [INFO] received Windows console close event; shutting log-core down
[00:29:09] [INFO] received Windows console close event; shutting log-core down
[00:32:54] [INFO] received Windows console close event; shutting log-core down
[00:34:22] [INFO] received Windows console close event; shutting log-core down
[00:34:27] [INFO] received Windows console close event; shutting log-core down
[00:35:54] [INFO] received Windows console close event; shutting log-core down
[00:53:04] [INFO] received Windows console close event; shutting log-core down
[00:53:45] [INFO] received Windows console close event; shutting log-core down
[00:55:19] [INFO] received Windows console close event; shutting log-core down
[00:58:20] [INFO] received Windows console close event; shutting log-core down
[01:03:27] [INFO] received Windows console close event; shutting log-core down
[01:08:16] [INFO] received Windows console close event; shutting log-core down
[01:20:28] [INFO] received Windows console close event; shutting log-core down
[01:28:26] [INFO] received Windows console close event; shutting log-core down
[02:25:14] [INFO] received Windows console close event; shutting log-core down
[02:26:52] [INFO] received Windows console close event; shutting log-core down
[03:26:07] [INFO] received Windows console close event; shutting log-core down
[04:43:38] [INFO] received Windows console close event; shutting log-core down
[04:47:09] [INFO] received Windows console close event; shutting log-core down
[04:49:43] [INFO] received Windows console close event; shutting log-core down
[04:52:23] [INFO] received Windows console close event; shutting log-core down
[04:53:50] [INFO] received Windows console close event; shutting log-core down
[04:56:01] [INFO] received Windows console close event; shutting log-core down
[04:59:35] [INFO] received Windows console close event; shutting log-core down
[20:44:49] [INFO] received Windows console close event; shutting log-core down
[21:14:44] [INFO] received Windows console close event; shutting log-core down
[23:40:55] [INFO] received Windows console close event; shutting log-core down
[23:54:53] [INFO] received Windows console close event; shutting log-core down
[00:30:16] [INFO] received Windows console close event; shutting log-core down
[00:33:38] [INFO] received Windows console close event; shutting log-core down
[03:15:57] [INFO] received Windows console close event; shutting log-core down
[03:20:35] [INFO] received Windows console close event; shutting log-core down
[03:27:51] [INFO] received Windows console close event; shutting log-core down
[03:33:12] [INFO] received Windows console close event; shutting log-core down
[03:37:43] [INFO] received Windows console close event; shutting log-core down
[03:49:50] [INFO] received Windows console close event; shutting log-core down
[04:02:56] [INFO] received Windows console close event; shutting log-core down
